EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,accX,accY,accZ,oriX,oriY,oriZ,oriW,gyrX,gyrY,gyrZ,Class,Subject
-1,-1,3,2,-7,-8,-6,-3,0.129394531,-0.749023438,0.302246094,-0.279846191,0.164550781,-0.689697266,0.647277832,-78.0625,-109.1875,102.375,1,1
4,1,3,-1,-6,5,18,1,0.168945313,-0.953125,0.424316406,-0.299987793,0.166381836,-0.668823242,0.659545898,-73.8125,-116.8125,109.0625,1,1
14,5,12,7,24,5,4,4,0.295410156,-1.075683594,0.586425781,-0.318786621,0.162841797,-0.645996094,0.674194336,-47.1875,-136.625,118.1875,1,1
1,-3,-4,-3,-9,-4,-9,-2,0.331542969,-0.91796875,0.614746094,-0.338256836,0.153991699,-0.619995117,0.691040039,-31.375,-167.6875,129.125,1,1
-5,0,0,5,-1,-8,2,-6,0.26171875,-0.79296875,0.546875,-0.359924316,0.140258789,-0.588684082,0.710083008,-24.8125,-207.8125,146.3125,1,1
-4,-1,-3,-2,14,-40,-6,-1,0.180175781,-0.951660156,0.500488281,-0.386535645,0.123046875,-0.551025391,0.729309082,-35.5625,-253.3125,159.6875,1,1
-5,-4,-5,-7,-16,-13,-7,3,0.311035156,-1.124511719,0.421875,-0.415344238,0.100463867,-0.5078125,0.74798584,-31.4375,-293.125,168.4375,1,1
9,6,2,1,8,7,19,0,0.487304688,-1.26953125,0.396484375,-0.440795898,0.070007324,-0.458007813,0.768798828,8.1875,-332.5,187.5,1,1
0,1,1,-5,-17,12,-7,-5,0.5390625,-1.291015625,0.345703125,-0.462585449,0.033447266,-0.399597168,0.790710449,40.25,-371.75,214.8125,1,1
-4,-7,-11,-3,-26,-15,-6,-1,0.534667969,-1.325683594,0.248046875,-0.47857666,-0.007995605,-0.333374023,0.812255859,75.75,-401.5625,237.3125,1,1
3,1,6,7,-13,-1,-2,7,0.508300781,-1.338378906,0.249023438,-0.486755371,-0.052856445,-0.258544922,0.832702637,116.375,-426.75,265.4375,1,1
1,0,4,1,-3,-12,2,-3,0.554199219,-1.29296875,0.239257813,-0.488769531,-0.098510742,-0.176574707,0.848632813,135.5625,-442.9375,290.0625,1,1
-8,-5,-12,-12,-17,-13,-8,-3,0.743652344,-1.250488281,0.241699219,-0.483825684,-0.142578125,-0.092224121,0.858520508,151.1875,-436.625,299.375,1,1
-3,-4,-3,-3,0,13,3,1,0.804199219,-1.185546875,0.31640625,-0.471130371,-0.181030273,-0.008361816,0.863220215,169.875,-407.625,304.4375,1,1
9,4,-4,-4,0,3,2,-4,0.948730469,-1.112792969,0.257324219,-0.451843262,-0.214904785,0.070556641,0.862976074,184.25,-374.6875,288,1,1
-5,-4,-1,-2,-1,-4,-16,2,1.15625,-0.946289063,0.219726563,-0.429504395,-0.241149902,0.139465332,0.859008789,179.375,-313.9375,259.375,1,1
-8,-13,-5,-1,-5,-11,-12,-6,1.08203125,-0.813964844,0.354492188,-0.405029297,-0.25769043,0.199951172,0.854125977,180.75,-249.125,239.0625,1,1
12,-2,10,16,-4,2,17,4,1.270019531,-0.763183594,0.498535156,-0.380371094,-0.265808105,0.252990723,0.848937988,178.0625,-189.25,224.5625,1,1
-12,2,-17,-24,-3,-33,-11,-1,0.940429688,-0.562011719,0.3984375,-0.357910156,-0.267578125,0.297668457,0.84362793,163.4375,-138.9375,197.625,1,1
3,-9,3,-7,-4,-24,-26,-6,0.997558594,-0.498046875,0.332519531,-0.343078613,-0.271057129,0.333007813,0.835388184,103.4375,-117.875,166.1875,1,1
